iter	Passed	Remaining
402	10389	10235
403	10412	10206
404	10432	10175
405	10461	10152
406	10486	10125
407	10502	10090
408	10518	10055
409	10536	10022
410	10552	9988
411	10569	9953
412	10588	9922
413	10603	9886
414	10619	9851
415	10638	9819
416	10654	9786
417	10675	9756
418	10700	9730
419	10716	9695
420	10733	9662
421	10754	9632
422	10770	9598
423	10789	9567
424	10808	9536
425	10823	9502
426	10840	9469
427	10862	9441
428	10878	9408
429	10896	9376
430	10915	9345
431	10933	9313
432	10953	9283
433	10970	9251
434	10998	9228
435	11021	9201
436	11038	9169
437	11057	9138
438	11082	9113
439	11105	9086
440	11132	9062
441	11153	9033
442	11173	9004
443	11197	8977
444	11213	8945
445	11232	8915
446	11248	8883
447	11269	8854
448	11290	8826
449	11310	8797
450	11327	8765
451	11342	8732
452	11358	8700
453	11376	8670
454	11405	8647
455	11435	8626
456	11454	8597
457	11472	8566
458	11492	8538
459	11509	8507
460	11529	8478
461	11549	8449
462	11564	8417
463	11582	8387
464	11602	8358
465	11620	8329
466	11637	8298
467	11658	8270
468	11674	8239
469	11700	8215
470	11734	8196
471	11751	8166
472	11772	8138
473	11796	8113
474	11817	8085
475	11834	8055
476	11862	8032
477	11882	8004
478	11902	7976
479	11924	7949
480	11954	7928
481	11973	7899
482	12000	7876
483	12019	7847
484	12034	7816
485	12052	7786
486	12069	7757
487	12088	7728
488	12107	7700
489	12125	7670
490	12145	7643
491	12169	7618
492	12196	7594
493	12225	7573
494	12242	7543
495	12258	7513
496	12275	7483
497	12293	7454
498	12312	7426
499	12336	7401
500	12356	7374
501	12379	7348
502	12395	7318
503	12414	7291
504	12435	7264
505	12453	7236
506	12474	7208
507	12490	7179
508	12509	7151
509	12538	7129
510	12572	7110
511	12592	7083
512	12611	7055
513	12632	7029
514	12658	7005
515	12678	6978
516	12697	6950
517	12713	6921
518	12732	6893
519	12752	6866
520	12778	6843
521	12800	6817
522	12823	6791
523	12851	6768
524	12870	6741
525	12892	6715
526	12910	6687
527	12931	6661
528	12949	6633
529	12972	6608
530	12994	6582
531	13010	6554
532	13032	6528
533	13050	6500
534	13069	6473
535	13085	6445
536	13106	6419
537	13126	6392
538	13142	6364
